Event,Track,Material,StepLength(mm),Edep(MeV),PreE(MeV),PostE(MeV),PreZ(mm),PostZ(mm),Transmission
0,35,G4_AIR,2.59211,0.00443581,0.0150907,0.0106549,407.627,407.137,1
0,35,G4_AIR,1.93244,0.00565493,0.0106549,0.00499994,407.137,406.471,1
0,35,G4_AIR,0.765933,0.00499994,0.00499994,0,406.471,406.361,0
0,34,G4_AIR,0.572509,0.00423774,0.00423774,0,478.491,478.434,0
0,33,G4_AIR,0.079481,0.00125658,0.00125658,0,523.323,523.342,0
0,32,G4_AIR,0.0805148,0.00126758,0.00126758,0,533.506,533.478,0
0,31,G4_AIR,2.2056,0.00361107,0.0125163,0.0089052,543.465,544.475,1
0,31,G4_AIR,1.6624,0.00505898,0.0089052,0.00384621,544.475,545.021,1
0,31,G4_AIR,0.483424,0.00384621,0.00384621,0,545.021,545.088,0
0,30,G4_AIR,0.179354,0.00213335,0.00213335,0,545.795,545.738,0
0,29,G4_AIR,0.0619222,0.001059,0.001059,0,641.916,641.914,0
0,28,G4_AIR,0.151752,0.00192011,0.00192011,0,666.815,666.759,0
0,27,G4_AIR,0.0704081,0.00115718,0.00115718,0,699.224,699.226,0
0,26,G4_AIR,2.23897,0.00396514,0.0192919,0.0128311,700.115,700.794,1
0,26,G4_AIR,2.25187,0.00511202,0.0128311,0.00771904,700.794,701.239,1
0,26,G4_AIR,1.45436,0.00503166,0.00771904,0.00268739,701.239,701.841,1
0,26,G4_AIR,0.261603,0.00268739,0.00268739,0,701.841,701.901,0
0,63,G4_AIR,0.231386,0.00249573,0.00249573,0,700.794,700.881,0
0,25,G4_AIR,0.133012,0.00176482,0.00176482,0,758.169,758.211,0
0,24,G4_AIR,0.09083,0.0013743,0.0013743,0,777.621,777.602,0
0,23,G4_AIR,0.273712,0.00276097,0.00276097,0,790.444,790.54,0
0,22,G4_AIR,0.261972,0.00268966,0.00268966,0,805.699,805.787,0
0,21,G4_AIR,0.0644091,0.00108835,0.00108835,0,874.614,874.61,0
0,20,G4_AIR,0.0911672,0.0013777,0.0013777,0,876.943,876.947,0
0,19,G4_AIR,0.15332,0.00193269,0.00193269,0,928.175,928.229,0
0,18,G4_AIR,0.697237,0.00130791,0.00889948,0.00640865,929.285,929.65,1
0,18,G4_AIR,1.1681,0.00640865,0.00640865,0,929.65,929.792,0
0,64,G4_AIR,0.0727115,0.00118291,0.00118291,0,929.65,929.663,0
0,17,G4_AIR,0.140866,0.00183105,0.00183105,0,1000.91,1000.96,0
0,16,G4_AIR,0.234676,0.0025172,0.0025172,0,1012.2,1012.25,0
0,15,G4_AIR,0.265536,0.000234506,0.00931747,0.00790288,1025.5,1025.39,1
0,15,G4_AIR,0.657932,0.000838996,0.00790288,0.00468743,1025.39,1025.42,1
0,15,G4_AIR,0.683419,0.00468743,0.00468743,0,1025.42,1025.36,0
0,66,G4_AIR,0.213533,0.00237645,0.00237645,0,1025.42,1025.4,0
0,65,G4_AIR,0.0724567,0.00118008,0.00118008,0,1025.39,1025.36,0
0,14,G4_AIR,0.0581038,0.00101288,0.00101288,0,1027.72,1027.74,0
0,13,G4_AIR,0.0577152,0.00100811,0.00100811,0,1047.67,1047.67,0
0,12,G4_AIR,0.143787,0.00185525,0.00185525,0,1123.53,1123.51,0
0,11,G4_AIR,65.4817,0.0133385,0.380439,0.365247,1198.19,1190.03,1
0,11,G4_AIR,50.8843,0.0118077,0.365247,0.342075,1190.03,1175.54,1
0,11,G4_AIR,113.068,0.0170543,0.342075,0.318074,1175.54,1127.77,1
0,11,G4_AIR,1.51494,0.000308093,0.318074,0.317766,1127.77,1127.59,1
0,11,G4_AIR,22.147,0.00250121,0.317766,0.313644,1127.59,1126.98,1
0,11,G4_AIR,196.198,0.0295515,0.313644,0.282766,1126.98,1044.07,1
0,11,G4_AIR,198.951,0.0357607,0.282766,0.247005,1044.07,912.007,1
0,11,G4_AIR,3.73282,0.000288441,0.247005,0.245674,912.007,909.351,1
0,11,G4_AIR,30.3681,0.00671175,0.245674,0.237955,909.351,885.127,1
0,11,G4_AIR,110.677,0.0227844,0.237955,0.213353,885.127,805.618,1
0,11,G4_AIR,0.0936817,0,0.213353,0.213353,805.618,805.536,1
0,11,G4_AIR,3.80043,0.000851449,0.213353,0.210848,805.536,802.103,1
0,11,G4_AIR,22.7603,0.00429301,0.210848,0.206555,802.103,784.245,1
0,11,G4_AIR,52.4293,0.0102432,0.206555,0.19488,784.245,737.508,1
0,11,G4_AIR,103.424,0.0204098,0.19488,0.171624,737.508,648.08,1
0,11,G4_AIR,1.08687,0.000228708,0.171624,0.170058,648.08,647.033,1
0,11,G4_AIR,88.1336,0.021605,0.170058,0.148453,647.033,575.67,1
0,11,G4_AIR,23.2602,0.00346167,0.148453,0.142316,575.67,554.385,1
0,11,G4_AIR,65.695,0.0149415,0.142316,0.127375,554.385,500.64,1
0,11,G4_AIR,54.629,0.0176474,0.127375,0.109727,500.64,469.566,1
0,11,G4_AIR,42.5856,0.0148516,0.109727,0.0948758,469.566,437.542,1
0,11,G4_AIR,13.6001,0.0043133,0.0948758,0.0863136,437.542,426.701,1
0,11,G4_AIR,28.5146,0.0105386,0.0863136,0.075775,426.701,405.192,1
0,11,G4_AIR,0.692803,3.20611e-05,0.075775,0.0740038,405.192,404.658,1
0,11,G4_AIR,6.36102,0.00226501,0.0740038,0.0703693,404.658,399.531,1
